Employee ID,Title,BusinessUnit,DepartmentType,Division,State,DOB,GenderCode,RaceDesc,MaritalDesc,EmployeeStatus,EmployeeType,EmployeeClassificationType,PayZone,StartDate,ExitDate,TerminationType,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost
3460,Area Sales Manager,SVG,Sales,Aerial,TX,1944-02-10,Male,Asian,Married,Active,Full-Time,Full-Time,Zone A,2020-02-19,,,3,3,4,3,3,2023-07-08,Communication Skills,External,Incomplete,5,919.52
3461,Area Sales Manager,EW,Sales,General - Con,CO,1997-12-29,Male,Hispanic,Married,Inactive,Full-Time,Part-Time,Zone C,2019-07-18,2021-10-01,Voluntary,2,1,1,4,4,2023-01-05,Technical Skills,External,Completed,2,948.43
3462,Area Sales Manager,MSC,Sales,Field Operations,CO,1942-08-09,Male,Hispanic,Divorced,Inactive,Contract,Full-Time,Zone A,2018-09-13,2021-09-17,Involuntary,2,3,3,3,1,2023-07-19,Project Management,External,Completed,1,320.01
3463,Area Sales Manager,TNS,Sales,Field Operations,IN,1951-06-21,Male,Hispanic,Single,Inactive,Part-Time,Temporary,Zone A,2020-04-30,2021-07-18,Voluntary,3,1,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,4,926.19
3464,Area Sales Manager,PYZ,Sales,Shop (Fleet),MA,1998-06-17,Male,Black,Widowed,Inactive,Contract,Full-Time,Zone B,2018-12-03,2022-09-09,Involuntary,2,5,2,5,3,2022-11-13,Customer Service,External,Passed,2,290.47
3465,Area Sales Manager,WBL,Sales,General - Con,MA,1962-01-07,Male,Asian,Divorced,Active,Full-Time,Full-Time,Zone B,2021-11-08,,,2,3,5,4,3,2023-06-04,Communication Skills,External,Incomplete,1,706.1
3466,Area Sales Manager,PYZ,IT/IS,Aerial,KY,1979-01-26,Male,Other,Married,Inactive,Part-Time,Full-Time,Zone C,2022-04-13,2023-04-10,Voluntary,4,4,1,3,4,2022-12-07,Customer Service,External,Passed,3,447.66
3467,Area Sales Manager,WBL,Sales,Fielders,KY,1987-05-14,Female,Asian,Divorced,Active,Contract,Part-Time,Zone A,2020-05-06,,,4,1,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,1,759.7
3468,Area Sales Manager,NEL,Sales,Wireline Construction,KY,1998-04-26,Female,Black,Single,Active,Contract,Temporary,Zone B,2019-09-09,,,3,4,3,1,3,2023-05-10,Customer Service,Internal,Completed,3,180.63
3469,Area Sales Manager,PL,Sales,Field Operations,TX,1945-02-21,Female,Asian,Divorced,Inactive,Contract,Full-Time,Zone B,2020-07-29,2023-01-05,Voluntary,2,3,5,5,1,2022-08-15,Communication Skills,Internal,Failed,2,552.54
3470,Area Sales Manager,BPC,Sales,Field Operations,TX,1997-05-31,Female,Black,Married,Inactive,Contract,Part-Time,Zone C,2018-11-14,2019-10-28,Voluntary,2,3,1,2,3,2022-09-26,Project Management,External,Passed,1,986.96
3471,Area Sales Manager,CCDR,Sales,Field Operations,TX,1967-01-03,Male,Asian,Married,Active,Part-Time,Temporary,Zone C,2020-02-29,,,3,4,2,4,1,2023-03-23,Customer Service,External,Passed,3,109.98
3472,Area Sales Manager,SVG,Sales,Project Management - Con,TX,1982-01-12,Male,Other,Married,Active,Contract,Full-Time,Zone C,2023-01-15,,,4,4,5,5,4,2023-02-12,Technical Skills,External,Completed,5,537.24
3473,Area Sales Manager,EW,Sales,Shop (Fleet),CO,1950-10-01,Male,Hispanic,Widowed,Active,Part-Time,Temporary,Zone A,2023-06-29,,,4,2,3,4,4,2022-12-06,Communication Skills,External,Failed,5,789.99
3474,Area Sales Manager,MSC,Sales,Catv,CO,1965-12-16,Male,Other,Divorced,Active,Full-Time,Temporary,Zone A,2020-03-09,,,3,2,3,1,2,2022-09-01,Customer Service,External,Incomplete,5,155.51
3475,Area Sales Manager,TNS,Sales,General - Con,IN,1957-12-25,Male,Asian,Widowed,Inactive,Full-Time,Temporary,Zone C,2021-09-21,2023-04-13,Voluntary,3,2,4,3,4,2022-11-02,Customer Service,Internal,Passed,2,648.76
3476,Area Sales Manager,PYZ,Sales,Fielders,MA,1945-06-20,Male,Asian,Divorced,Inactive,Part-Time,Temporary,Zone A,2023-06-12,2023-07-06,Voluntary,2,2,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,4,533.5
3477,Area Sales Manager,PYZ,IT/IS,Aerial,KY,1969-12-03,Female,Asian,Widowed,Active,Part-Time,Full-Time,Zone A,2019-04-07,,,2,2,1,2,1,2022-11-07,Leadership Development,External,Failed,5,429.48
3478,Area Sales Manager,WBL,Sales,Wireline Construction,KY,1957-10-10,Female,Hispanic,Married,Inactive,Full-Time,Temporary,Zone C,2018-09-17,2019-01-09,Voluntary,3,2,3,4,1,2022-10-05,Technical Skills,External,Incomplete,1,526.74
3479,Area Sales Manager,NEL,Sales,Project Management - Con,TX,1962-05-17,Female,Hispanic,Widowed,Inactive,Contract,Part-Time,Zone A,2022-08-02,2023-04-02,Involuntary,3,2,4,4,4,2023-01-18,Communication Skills,Internal,Passed,3,443.45
3480,Area Sales Manager,PL,Sales,Catv,TX,1946-08-09,Female,Black,Widowed,Inactive,Full-Time,Temporary,Zone C,2022-09-08,2022-10-16,Voluntary,3,1,1,5,3,2023-03-02,Leadership Development,External,Failed,1,887.15
3481,Area Sales Manager,BPC,Sales,Wireline Construction,TX,1965-12-11,Male,Other,Widowed,Inactive,Full-Time,Part-Time,Zone C,2019-03-07,2021-05-31,Voluntary,3,4,5,2,4,2023-05-29,Technical Skills,External,Incomplete,5,758.95
3482,Area Sales Manager,CCDR,Sales,Catv,TX,1990-02-11,Male,Asian,Divorced,Inactive,Full-Time,Temporary,Zone A,2019-10-29,2021-02-07,Voluntary,2,2,4,5,5,2023-03-03,Technical Skills,Internal,Failed,1,627.11
3483,Area Sales Manager,SVG,Sales,Project Management - Con,CO,1964-06-19,Male,Asian,Widowed,Active,Part-Time,Temporary,Zone B,2021-09-26,,,3,1,1,4,5,2022-08-10,Project Management,External,Passed,4,111.96
3484,Area Sales Manager,EW,Sales,General - Con,CO,1995-07-18,Male,Other,Single,Active,Part-Time,Full-Time,Zone B,2018-08-29,,,3,4,1,2,4,2023-06-27,Project Management,External,Passed,1,795.7
3485,Area Sales Manager,MSC,Sales,Field Operations,CO,1994-08-22,Male,White,Widowed,Active,Contract,Full-Time,Zone C,2021-10-26,,,3,5,2,1,3,2022-08-07,Customer Service,Internal,Passed,2,796.45
3486,Area Sales Manager,TNS,Sales,Fielders,IN,1990-11-14,Male,Other,Widowed,Inactive,Part-Time,Temporary,Zone C,2022-10-31,2023-06-08,Involuntary,3,4,3,1,1,2023-07-23,Project Management,Internal,Completed,5,812.59
3487,Area Sales Manager,BPC,Sales,General - Sga,KY,1994-02-01,Female,Other,Divorced,Active,Contract,Part-Time,Zone B,2023-03-15,,,3,4,5,4,1,2023-07-17,Project Management,External,Completed,5,132.97
3488,Area Sales Manager,CCDR,Sales,Wireline Construction,KY,1997-11-12,Female,Asian,Single,Active,Contract,Full-Time,Zone B,2022-09-09,,,3,2,1,5,1,2022-09-20,Communication Skills,Internal,Completed,1,308.19
3489,Area Sales Manager,EW,Sales,Field Operations,TX,1953-05-02,Female,Black,Divorced,Active,Part-Time,Temporary,Zone A,2022-03-04,,,3,2,2,4,5,2023-07-02,Project Management,Internal,Passed,1,131.41
3490,Area Sales Manager,MSC,Sales,General - Sga,TX,1991-07-10,Female,Hispanic,Divorced,Active,Part-Time,Part-Time,Zone A,2019-02-11,,,3,2,5,3,2,2023-07-19,Technical Skills,Internal,Failed,3,389.59
3491,Area Sales Manager,NEL,Sales,Field Operations,TX,1973-06-02,Male,White,Widowed,Active,Contract,Full-Time,Zone B,2021-01-26,,,3,5,3,4,5,2023-07-14,Project Management,Internal,Incomplete,3,442.56
3492,Area Sales Manager,PL,Sales,General - Con,CO,1993-01-08,Male,Asian,Married,Active,Full-Time,Full-Time,Zone C,2019-11-26,,,3,1,1,5,5,2022-09-06,Project Management,Internal,Incomplete,3,327.66
3493,Area Sales Manager,PYZ,Sales,Project Management - Con,CO,1984-04-17,Male,Asian,Widowed,Active,Full-Time,Full-Time,Zone C,2019-07-15,,,3,5,3,1,5,2023-02-19,Project Management,Internal,Completed,3,400.95
3494,Area Sales Manager,SVG,Sales,General - Con,CO,1994-02-08,Male,Black,Single,Active,Contract,Full-Time,Zone B,2020-06-18,,,3,4,1,2,1,2023-02-11,Technical Skills,Internal,Completed,2,910.45
3495,Area Sales Manager,TNS,Sales,Wireline Construction,IN,1993-01-27,Male,Other,Married,Inactive,Part-Time,Temporary,Zone B,2023-06-22,2023-07-22,Voluntary,3,4,4,3,5,2022-12-21,Customer Service,External,Passed,1,701.55
3496,Area Sales Manager,WBL,Sales,General - Sga,CA,1964-09-19,Male,Other,Widowed,Active,Contract,Part-Time,Zone A,2021-12-02,,,3,5,1,3,2,2023-02-16,Project Management,Internal,Incomplete,1,806.87
3497,Area Sales Manager,TNS,Sales,Project Management - Con,OR,1981-02-18,Female,Hispanic,Widowed,Active,Part-Time,Temporary,Zone C,2021-12-08,,,3,1,2,3,4,2023-03-11,Communication Skills,Internal,Completed,2,184.21
3498,Area Sales Manager,PYZ,Sales,General - Sga,KY,1998-10-17,Female,White,Widowed,Inactive,Full-Time,Full-Time,Zone A,2023-04-26,2023-06-22,Voluntary,3,2,3,3,4,2023-05-30,Project Management,External,Failed,1,208.43
3499,Area Sales Manager,WBL,Sales,Field Operations,KY,1971-01-16,Female,Asian,Widowed,Inactive,Part-Time,Temporary,Zone C,2018-09-25,2021-12-20,Involuntary,3,5,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,2,762.45
3500,Area Sales Manager,NEL,Sales,Shop (Fleet),TX,2000-02-25,Female,White,Divorced,Inactive,Full-Time,Part-Time,Zone B,2018-11-20,2020-06-21,Voluntary,3,1,4,1,4,2023-06-15,Leadership Development,External,Incomplete,4,779.79
3501,Area Sales Manager,PL,Sales,General - Con,TX,1959-04-19,Male,Other,Widowed,Inactive,Part-Time,Part-Time,Zone A,2020-08-30,2022-08-30,Voluntary,3,4,2,3,4,2023-06-09,Project Management,External,Passed,3,135.95
3502,Area Sales Manager,BPC,Sales,Splicing,TX,1976-06-29,Male,White,Married,Active,Full-Time,Temporary,Zone C,2019-10-01,,,3,1,5,3,5,2023-01-03,Customer Service,External,Incomplete,3,427.12
3503,Area Sales Manager,CCDR,Sales,Project Management - Con,CO,1951-07-27,Male,Other,Single,Active,Part-Time,Temporary,Zone A,2022-01-20,,,3,4,5,2,3,2023-02-20,Technical Skills,Internal,Completed,4,996.35
3504,Area Sales Manager,SVG,Sales,General - Con,CO,1980-08-23,Male,Hispanic,Married,Active,Full-Time,Part-Time,Zone B,2021-10-10,,,3,2,3,4,3,2023-06-02,Communication Skills,Internal,Completed,5,963.23
3505,Area Sales Manager,EW,Sales,Field Operations,IN,1943-07-24,Male,Hispanic,Widowed,Active,Contract,Temporary,Zone B,2020-08-29,,,3,1,4,3,2,2022-09-13,Leadership Development,Internal,Failed,5,260.97
3506,Area Sales Manager,MSC,Sales,Field Operations,IN,1988-07-06,Male,Other,Married,Inactive,Full-Time,Temporary,Zone B,2019-08-27,2023-05-10,Voluntary,3,2,2,2,3,2023-05-21,Leadership Development,Internal,Completed,1,781.81
3507,Area Sales Manager,TNS,Sales,Project Management - Con,CA,1973-03-24,Male,White,Single,Inactive,Full-Time,Full-Time,Zone A,2021-02-25,2023-04-07,Voluntary,3,4,2,5,2,2023-05-25,Project Management,Internal,Passed,4,651.77
3508,Area Sales Manager,CCDR,Sales,Aerial,OR,1942-05-26,Male,Asian,Single,Active,Full-Time,Part-Time,Zone B,2021-07-13,,,3,5,1,5,4,2023-04-04,Communication Skills,External,Completed,1,568.22
3509,Area Sales Manager,BPC,Sales,General - Sga,KY,1977-11-04,Female,Black,Married,Active,Part-Time,Full-Time,Zone C,2021-04-14,,,3,2,4,5,2,2023-03-04,Leadership Development,External,Completed,4,612.1
3510,Area Sales Manager,PYZ,Sales,General - Con,KY,1956-10-17,Female,Hispanic,Married,Active,Part-Time,Full-Time,Zone A,2020-02-10,,,3,2,2,4,3,2022-10-27,Technical Skills,External,Completed,4,473.23
3511,Area Sales Manager,WBL,Sales,Finance & Accounting,KY,1997-02-18,Female,Asian,Divorced,Inactive,Part-Time,Full-Time,Zone B,2021-08-17,2021-12-31,Voluntary,3,4,5,4,5,2023-04-07,Technical Skills,Internal,Completed,3,344.44
3512,Area Sales Manager,NEL,Sales,Yard (Material Handling),TX,1996-10-25,Female,Black,Single,Inactive,Contract,Temporary,Zone C,2023-04-17,2023-06-22,Voluntary,3,2,5,1,3,2022-11-25,Communication Skills,Internal,Failed,2,206.44
3513,Area Sales Manager,PL,Sales,General - Con,TX,1959-11-13,Male,Other,Married,Inactive,Contract,Temporary,Zone C,2022-09-02,2023-05-24,Involuntary,3,5,4,1,3,2023-06-03,Communication Skills,External,Completed,1,599.0
3514,Area Sales Manager,BPC,Sales,Wireline Construction,TX,1958-01-03,Male,Asian,Married,Active,Full-Time,Part-Time,Zone B,2020-04-15,,,3,1,2,1,1,2023-02-21,Leadership Development,Internal,Incomplete,3,975.46
3515,Area Sales Manager,CCDR,Sales,Finance & Accounting,CO,1997-04-29,Male,White,Single,Inactive,Part-Time,Part-Time,Zone A,2022-03-09,2022-12-10,Voluntary,3,4,3,5,5,2023-02-04,Customer Service,Internal,Completed,1,143.96
3516,Area Sales Manager,SVG,Sales,Project Management - Con,CO,1988-06-25,Male,Asian,Divorced,Inactive,Contract,Part-Time,Zone B,2022-04-07,2023-01-22,Voluntary,3,5,2,3,5,2023-06-22,Technical Skills,Internal,Incomplete,1,570.42
3517,Area Sales Manager,EW,Sales,Splicing,IN,1942-01-04,Male,Hispanic,Widowed,Active,Part-Time,Part-Time,Zone A,2020-02-19,,,3,4,4,1,1,2022-09-17,Technical Skills,Internal,Failed,3,391.31
3518,Area Sales Manager,MSC,Sales,General - Eng,CA,1969-05-24,Female,Hispanic,Married,Inactive,Contract,Part-Time,Zone B,2021-04-10,2022-07-04,Involuntary,3,2,4,2,5,2023-06-27,Customer Service,Internal,Completed,3,826.58
3519,Area Sales Manager,TNS,Sales,Aerial,CA,1951-03-28,Male,Hispanic,Widowed,Inactive,Part-Time,Temporary,Zone C,2021-12-19,2022-03-02,Voluntary,3,2,1,3,4,2022-12-11,Leadership Development,External,Incomplete,4,930.69
3520,Area Sales Manager,TNS,Sales,Project Management - Con,ND,1963-03-01,Female,Black,Divorced,Inactive,Full-Time,Temporary,Zone C,2020-12-13,2023-01-13,Involuntary,3,1,5,1,1,2022-09-11,Customer Service,External,Incomplete,1,607.93
3521,Area Sales Manager,WBL,Sales,General - Con,KY,1949-04-16,Female,Asian,Divorced,Active,Contract,Part-Time,Zone C,2019-02-26,,,3,4,1,3,3,2023-02-28,Communication Skills,Internal,Incomplete,5,723.5
3522,Area Sales Manager,BPC,Sales,Splicing,KY,1983-10-12,Female,Other,Single,Active,Full-Time,Part-Time,Zone C,2020-03-02,,,3,1,1,5,4,2023-05-05,Communication Skills,External,Completed,5,394.04
3523,Area Sales Manager,CCDR,Sales,General - Con,KY,1978-12-19,Female,Other,Single,Inactive,Full-Time,Temporary,Zone A,2021-06-25,2022-08-25,Voluntary,3,2,3,2,3,2023-07-10,Leadership Development,External,Incomplete,2,451.18
3524,Area Sales Manager,EW,Sales,Field Operations,TX,1999-11-11,Male,Asian,Divorced,Inactive,Contract,Full-Time,Zone B,2021-07-26,2022-05-04,Voluntary,3,2,3,2,4,2023-01-02,Communication Skills,Internal,Completed,5,124.65
3525,Area Sales Manager,MSC,Sales,General - Con,TX,1967-01-29,Male,Hispanic,Single,Inactive,Contract,Temporary,Zone B,2022-07-03,2023-01-10,Voluntary,3,2,1,2,1,2022-10-09,Leadership Development,External,Incomplete,4,237.75
3526,Area Sales Manager,NEL,Sales,General - Con,TX,1948-05-30,Male,White,Widowed,Active,Full-Time,Full-Time,Zone B,2022-09-15,,,3,4,1,5,3,2022-10-15,Customer Service,Internal,Passed,2,360.5
3527,Area Sales Manager,PL,Sales,Aerial,CO,1974-10-15,Male,Black,Married,Inactive,Full-Time,Temporary,Zone B,2020-05-01,2021-02-25,Voluntary,3,1,1,3,2,2023-01-06,Project Management,Internal,Failed,4,396.28
3528,Area Sales Manager,PYZ,Sales,Finance & Accounting,CO,1991-12-13,Male,Hispanic,Widowed,Active,Full-Time,Part-Time,Zone C,2022-10-13,,,3,2,5,2,2,2023-03-02,Technical Skills,External,Passed,1,465.96
3529,Area Sales Manager,SVG,Sales,Field Operations,IN,1994-06-18,Male,Hispanic,Single,Inactive,Part-Time,Full-Time,Zone C,2020-01-03,2020-08-24,Voluntary,3,2,2,3,4,2022-09-04,Project Management,Internal,Incomplete,1,515.56
3530,Area Sales Manager,TNS,Sales,Field Operations,CA,1993-06-16,Female,Black,Widowed,Active,Full-Time,Part-Time,Zone B,2019-11-13,,,3,2,1,2,5,2023-01-18,Customer Service,External,Passed,2,496.85
3531,Area Sales Manager,WBL,Sales,Project Management - Con,CA,1943-05-18,Male,Black,Divorced,Active,Full-Time,Full-Time,Zone C,2023-06-17,,,3,1,2,4,4,2022-11-30,Leadership Development,External,Completed,3,629.46
3532,Area Sales Manager,EW,IT/IS,Wireless,OR,1966-11-27,Female,Black,Widowed,Active,Part-Time,Full-Time,Zone B,2021-10-14,,,3,1,2,2,5,2023-05-02,Technical Skills,Internal,Failed,2,771.61
3533,Area Sales Manager,MSC,Sales,General - Sga,ND,1966-11-12,Male,White,Married,Inactive,Contract,Full-Time,Zone B,2021-06-01,2023-07-16,Voluntary,3,2,2,5,2,2023-05-11,Leadership Development,Internal,Completed,4,418.4
3534,Area Sales Manager,TNS,Sales,Engineers,KY,1959-08-16,Female,Asian,Single,Active,Full-Time,Full-Time,Zone A,2018-09-14,,,3,4,4,3,2,2023-05-21,Customer Service,Internal,Completed,3,900.96
3535,Area Sales Manager,PYZ,Sales,Fielders,KY,1994-02-02,Female,Black,Single,Inactive,Full-Time,Temporary,Zone A,2018-12-11,2022-06-02,Voluntary,3,4,1,5,1,2023-06-25,Technical Skills,External,Incomplete,1,936.96
3536,Area Sales Manager,WBL,Sales,General - Sga,GA,1989-01-02,Female,Black,Single,Active,Contract,Temporary,Zone C,2022-08-06,,,3,2,1,2,4,2022-11-23,Leadership Development,External,Passed,5,269.03
3537,Area Sales Manager,NEL,Sales,Field Operations,TX,1954-07-11,Male,Hispanic,Married,Inactive,Contract,Part-Time,Zone C,2022-05-28,2023-02-24,Voluntary,3,2,4,2,5,2023-02-06,Leadership Development,Internal,Completed,4,853.77
3538,Area Sales Manager,PL,Sales,Fielders,TX,1959-08-29,Male,Asian,Widowed,Inactive,Part-Time,Part-Time,Zone C,2019-06-16,2022-03-05,Voluntary,3,2,1,5,4,2022-10-06,Technical Skills,Internal,Failed,4,141.07
3539,Area Sales Manager,BPC,Sales,General - Con,CO,1983-11-27,Male,Hispanic,Single,Active,Full-Time,Temporary,Zone C,2019-12-08,,,3,5,3,3,4,2023-03-17,Project Management,External,Failed,4,234.77
3540,Area Sales Manager,CCDR,Sales,Splicing,CO,1983-06-09,Male,White,Widowed,Inactive,Full-Time,Part-Time,Zone B,2020-03-12,2022-10-09,Voluntary,4,4,2,2,3,2022-10-26,Communication Skills,External,Incomplete,2,903.46
3541,Area Sales Manager,SVG,Sales,Field Operations,IN,1991-10-27,Male,Black,Married,Inactive,Full-Time,Full-Time,Zone B,2020-04-06,2023-07-24,Involuntary,4,2,1,3,3,2023-05-22,Customer Service,External,Passed,4,380.3
